fact_check_id,post_id,relationship,split
56291,32512,backlink,train
19685,37842,backlink,train
198153,36277,backlink,train
146385,42633,backlink,train
5953,36622,backlink,train
146420,46956,backlink,train
19699,36539,backlink,train
120729,46039,backlink,test
1302,47510,backlink,train
18980,34790,backlink,train
15143,49382,backlink,train
124939,41318,backlink,test
19717,32380,backlink,train
88131,34283,backlink,train
146417,70497,backlink,train
12218,43032,backlink,train
12218,46710,backlink,train
146413,34267,backlink,dev
146419,47726,backlink,train
15191,28927,backlink,train
15191,38139,backlink,train
196413,37963,backlink,test
4806,53044,backlink,dev
124283,56103,backlink,train
38672,53231,backlink,train
2181,55788,backlink,train
40015,34692,backlink,train
1025,46055,backlink,train
19709,32770,backlink,train
15147,49263,backlink,dev
113268,36048,backlink,train
4942,50967,backlink,train
971,31413,backlink,train
6556,35084,backlink,train
15141,28688,backlink,test
15138,29560,backlink,train
88136,36997,backlink,train
2756,38465,backlink,train
19706,31051,backlink,train
19706,32186,backlink,train
19706,44120,backlink,train
19706,48950,backlink,train
19706,54260,backlink,train
108809,52122,backlink,train
146387,42053,backlink,test
47099,29868,backlink,train
56289,50745,backlink,train
419,41965,backlink,train
3264,39332,backlink,train
194232,43205,backlink,train
62526,28472,backlink,train
62526,36081,backlink,train
62526,50136,backlink,train
15194,39294,backlink,train
200306,36346,backlink,test
70260,37839,backlink,train
15157,44525,backlink,test
15146,54356,backlink,train
4946,48084,backlink,train
88135,46321,backlink,test
17405,34690,backlink,train
17405,47340,backlink,train
113114,34690,backlink,train
134642,51789,backlink,train
128681,37707,backlink,train
131310,54578,backlink,train
9091,47047,backlink,train
131119,37609,backlink,train
17997,52476,backlink,train
149023,43298,backlink,test
121696,39910,backlink,train
121696,46433,backlink,train
48078,45396,backlink,test
63030,56031,backlink,train
205758,43322,backlink,dev
24772,53094,backlink,test
130914,31311,backlink,train
139684,53193,backlink,train
11988,30507,backlink,train
11988,32561,backlink,train
67622,66672,claimreview_schema,train
132200,38919,backlink,train
24640,29160,backlink,train
15935,53934,backlink,dev
21026,43265,backlink,train
127717,28742,backlink,train
15911,33680,backlink,train
10018,66174,claimreview_schema,train
112850,50198,backlink,test
6046,52807,backlink,train
97812,46705,backlink,train
56295,32990,backlink,train
110010,66855,claimreview_schema,train
137809,66855,claimreview_schema,train
126317,66428,claimreview_schema,train
20136,74714,claimreview_schema,train
19560,34320,backlink,train
127623,68373,claimreview_schema,dev
24738,40860,backlink,train
67713,29438,backlink,train
12493,40057,backlink,train
125157,29690,backlink,train
67688,28876,backlink,train
126217,46782,backlink,train
